"すずき,鈴木","かまだ,鎌田","たかとり,高取","くましろ,神代","ひろいけ,広池","なかつぼ,中坪","やまかど,山門","のぶとう,延藤","くつな,沓名","ふじさか,藤坂","うたまる,歌丸","こはなわ,小華和","でざわ,出沢","まつかた,松形","あつぼ,厚母","いむら,猪村","おかだや,岡田屋","かねま,兼間","くさかみ,草上","これむら,是村","しなと,階戸","そたに,祖谷","ちばた,千畑","なおばやし,直林","はさだ,羽佐田","ふじわ,藤輪","みさご,三砂","やずみ,矢住"
"さとう,佐藤","こすげ,小菅","たかま,高間","くらち,倉知","ひろまつ,広松","なかぬま,中沼","やまが,山家","のぼり,昇","くにかた,国方","ふじさく,藤咲","うだ,卯田","こはり,小針","でずか,出塚","まつかね,松金","あつみ,あつみ","いむろ,伊室","おかつ,岡津","かねまさ,金正","くさかり,草苅","ころすえ,頃末","しなの,品野","そだ,蘇田","ちひろ,千広","なおむら,直村","はさだ,狭田","ふじわか,藤若","みさと,みさと","やせつあん,夜雪庵"
"たなか,田中","こむら,小村","たかもと,高本","くりす,栗栖","ふえき,笛木","なかむら,中邑","やまがた,山方","のぼり,登","くにさだ,国貞","ふじさと,藤里","うち,内","こば,小場","での,出野","まつが,松賀","あつみ,渥見","いもう,芋生","おかつ,小勝","かねます,金桝","くさがわ,草川","ころめ,衣目","しなみ,志波","そつか,曽束","ちま,千万","なか,奈加","はざま,はざま","ふじわき,藤脇","みさやま,御射山","やそぎ,八十木"
"たかはし,高橋","さかい,堺","だいもん,大門","くわしま,桑島","ふかぼり,深堀","なかもと,中元","やまくら,山倉","のや,野矢","くにざわ,国沢","ふじずか,藤塚","うちかわ,内河","こばた,小畠","でぶち,出淵","まつがえ,松枝","あつみ,安海","いもがわ,妹川","おかつ,尾勝","かねまつ,加年松","くさぞうし,草双紙","こわ,古和","しの,司野","そで,外","ちまた,街","なか,名香","はざま,羽間","ふじわら,冨士原","みさわ,参沢","やそだ,八十田"
"なかむら,中村","さくらだ,桜田","つねかわ,恒川","くわむら,桑村","ふかみ,深水","なかや,仲谷","やまと,山戸","はいだ,拝田","くにはら,国原","ふじたか,藤高","うちき,打木","こばた,木場田","でまち,出町","まつがき,松垣","あつみ,厚海","いもせ,妹背","おかで,岡出","かねまる,兼丸","くさばやし,艸林","こわせ,強瀬","しの,史野","そでかわ,袖川","ちむら,地村","なかあき,中明","はざま,迫","ふずき,文月","みざ,見座","やその,八十野"
"わたなべ,渡辺","さめじま,鮫島","とべ,戸部","こいたばし,小板橋","ふかわ,布川","ながいけ,長池","やまびこ,山彦","はいの,灰野","くにふじ,国藤","ふじめ,藤目","うちこが,内古閑","こばやがわ,小早川","でわのうみ,出羽ノ海","まつしげ,松繁","あつみ,厚見","いもた,芋田","おかど,小門","かねみつ,金三津","くさべ,草部","こん,孔","しのう,柴生","そでがき,袖垣","ちもり,千守","なかあぜ,中畔","はざま,挾間","ふせたに,伏谷","みしょう,御庄","やたか,家高"
"いとう,伊藤","しぶさわ,渋沢","とよざわ,豊沢","こうだ,香田","ふくざき,福崎","ながと,長戸","やりた,鎗田","はぎやま,萩山","くにむら,国村","ふじもり,藤盛","うちこば,内木場","こひい,小樋井","でん,伝","まつずき,松月","あつみ,厚美","いもたに,芋谷","おかなか,岡中","かねみつ,金満","くさみつ,草光","こんごうじ,金剛寺","しのうてん,四王天","そでき,袖木","ちもん,知文","なかあらい,中新井","はざま,玻座真","ふせだ,布施田","みしょう,御荘","やたがわ,谷田川"
"こばやし,小林","しみず,志水","なかざき,中崎","こうの,高野","ふけ,福家","ながなわ,長縄","ゆかわ,油川","はく,白","くぬぎ,椚","ふじよし,藤善","うちぞの,内薗","こひるいまき,小比類巻","とあけ,十朱","まつた,松田","あでがわ,阿出川","いもと,猪本","おかなり,岡成","かねみや,金宮","くさもり,草森","こんしん,近新","しのうら,篠浦","そでの,袖野","ちようら,千代浦","なかい,中飯","はざわ,羽沢","ふせはら,伏原","みしお,見塩","やたけ,箭竹"
"やまもと,山本","すぎえ,杉江","にいずま,新妻","こさき,小崎","ふじ,冨士","ながひさ,永久","ゆき,柚木","はくた,伯田","くのう,久納","ふたつもり,二ツ森","うちぬま,内沼","こびなた,小日向","といけ,外池","まつなえ,松苗","あと,跡","いもり,井守","おかね,岡根","かねゆき,兼行","くさや,日谷","こんじき,近喰","しのお,篠尾","そと,外","ちよざき,千代崎","なかいし,中石","はし,羽志","ふせや,布施谷","みしお,御塩","やたけ,矢竹"
"かとう,加藤","そう,宗","にいやま,新山","こてら,小寺","ふじた,富士田","ながやす,永安","ゆたに,湯谷","はこもり,箱守","くぼうち,久保内","ふたら,二荒","うちはら,内原","こびやま,小桧山","といし,登石","まつなが,松長","あとう,阿刀","いもり,居森","おかの,丘乃","かねゆき,包行","くざわ,久沢","こんじん,金神","しのおか,筱岡","そといけ,外池","ちよじま,千代島","なかいち,仲市","はし,波止","ふそう,総生","みしお,三塩","やたざわ,谷田沢"
"よしだ,吉田","たかつ,高津","ぬのかわ,布川","こば,木場","ふじまつ,藤松","なごや,名越","ゆたに,油谷","はざま,羽佐間","くぼかわ,久保川","ふちた,淵田","うちば,内場","こふくだ,小福田","といずみ,樋泉","まつなみ,松並","あとだ,阿刀田","いもん,井門","おかのうち,岡内","かの,かの","くしょう,九生","こんた,近田","しのかわ,篠川","そとうち,外内","ちよたに,千代谷","なかいど,中井戸","はし,波紫","ふたえさく,二重作","みしく,御宿","やたに,八谷"
